i, megaflow_entries
1, 13
2, 12
3, 15
4, 15
5, 11
6, 13
7, 15
8, 13
9, 13
10, 14
11, 13
12, 14
13, 15
14, 14
15, 13
16, 14
17, 13
18, 13
19, 12
20, 14
21, 14
22, 12
23, 12
24, 12
25, 14
26, 14
27, 13
28, 13
29, 13
30, 13
31, 14
32, 13
33, 15
34, 15
35, 14
36, 13
37, 13
38, 13
39, 15
40, 13
41, 14
42, 14
43, 14
44, 12
45, 15
46, 14
47, 14
48, 13
49, 13
50, 14
51, 12
52, 13
53, 14
54, 13
55, 15
56, 14
57, 13
58, 12
59, 13
60, 13
61, 12
62, 14
63, 13
64, 14
65, 13
66, 13
67, 13
68, 13
69, 13
70, 13
71, 13
72, 13
73, 14
74, 14
75, 13
76, 13
77, 15
78, 13
79, 13
80, 13
81, 14
82, 13
83, 14
84, 14
85, 14
86, 14
87, 15
88, 12
89, 15
90, 13
91, 11
92, 12
93, 14
94, 14
95, 13
96, 13
97, 13
98, 13
99, 15
100, 14
